StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,se tiene en cuenta,razon,showupfee simple,showup fee extendido
2/4/2022 17:48,2/4/2022 18:19,0,186.154.38.166,100,1808,1,2/4/2022 18:19,R_DwXI7H1FigMtXH3,SI,RECIBIDA,no,si
2/6/2022 9:16,2/6/2022 9:48,0,191.95.48.34,100,1900,1,2/6/2022 9:48,R_2bJ0a1nPTrPFrfz,SI,RECIBIDA,no,si
2/5/2022 23:23,2/5/2022 23:55,0,181.78.16.179,100,1921,1,2/5/2022 23:55,R_31XbB48jxR5w5L3,SI,RECIBIDA,no,si
2/4/2022 20:23,2/4/2022 20:55,0,191.156.34.49,100,1929,1,2/4/2022 20:55,R_1jJrX9NR9pvOTP5,SI,RECIBIDA,no,si
2/4/2022 17:06,2/4/2022 17:38,0,186.82.84.198,100,1951,1,2/4/2022 17:38,R_Qgh3w1nyBAIXzWN,SI,RECIBIDA,no,si
2/6/2022 8:09,2/6/2022 8:41,0,191.95.156.29,100,1959,1,2/6/2022 8:41,R_2EgbcuE1sV92vnQ,SI,RECIBIDA,no,si
2/4/2022 16:25,2/4/2022 16:58,0,201.182.251.138,100,1977,1,2/4/2022 16:58,R_51rJtiRzUy9iCzv,SI,RECIBIDA,no,si
2/6/2022 14:02,2/6/2022 14:38,0,190.251.177.217,100,2161,1,2/6/2022 14:38,R_3KJeJJFKD7JgMgF,SI,RECIBIDA,no,si
1/28/2022 18:17,1/28/2022 18:54,0,181.58.39.208,100,2227,1,1/28/2022 18:54,R_26euWoOsF2LjFRn,SI,RECIBIDA,no,si
2/5/2022 16:26,2/5/2022 17:03,0,186.80.54.74,100,2254,1,2/5/2022 17:03,R_3fYSnnJWNRoWZ9A,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 16:55,0,186.99.119.16,100,2263,1,2/4/2022 16:55,R_AgJflBdsRHLgTlL,SI,RECIBIDA,no,si
2/4/2022 21:04,2/4/2022 21:43,0,181.52.108.32,100,2327,1,2/4/2022 21:43,R_2QgRMIhveiIfB5v,SI,RECIBIDA,no,si
2/5/2022 3:54,2/5/2022 4:33,0,181.33.222.2,100,2329,1,2/5/2022 4:33,R_SUC23EM5eTKYoZH,SI,RECIBIDA,no,si
2/6/2022 7:13,2/6/2022 7:52,0,186.119.75.56,100,2353,1,2/6/2022 7:52,R_3QDwyWjTDo6uOb0,SI,RECIBIDA,no,si
2/4/2022 16:51,2/4/2022 17:31,0,186.154.31.27,100,2368,1,2/4/2022 17:31,R_sng4IIas2mXDVT3,SI,RECIBIDA,no,si
1/28/2022 15:52,1/28/2022 16:31,0,181.51.34.205,100,2371,1,1/28/2022 16:31,R_1r0OYzbCploPARI,SI,RECIBIDA,no,si
1/28/2022 17:03,1/28/2022 17:42,0,186.102.188.31,100,2378,1,1/28/2022 17:42,R_3safOCr1ie2jjq4,SI,RECIBIDA,no,si
2/5/2022 7:29,2/5/2022 8:10,0,191.91.89.181,100,2437,1,2/5/2022 8:10,R_3NQzbvUqqwoztG6,SI,RECIBIDA,no,si
2/4/2022 16:33,2/4/2022 17:14,0,186.84.212.255,100,2438,1,2/4/2022 17:14,R_3FV5FCPDmTBFwTw,SI,RECIBIDA,no,si
2/3/2022 11:12,2/3/2022 11:53,0,190.158.25.239,100,2457,1,2/3/2022 11:53,R_1FtemuKdLSdhT7v,SI,RECIBIDA,no,si
2/4/2022 16:16,2/4/2022 16:57,0,191.95.131.25,100,2485,1,2/4/2022 16:57,R_2w6y5yd4gMfTph5,SI,RECIBIDA,no,si
2/4/2022 16:29,2/4/2022 17:11,0,186.102.46.161,100,2486,1,2/4/2022 17:11,R_2BevZ3kfICkRkiT,SI,RECIBIDA,no,si
2/5/2022 6:17,2/5/2022 6:58,0,190.67.197.64,100,2501,1,2/5/2022 6:58,R_2Sjd0Em3XJ8K0F0,SI,RECIBIDA,no,si
2/7/2022 5:07,2/7/2022 5:49,0,191.156.151.10,100,2524,1,2/7/2022 5:49,R_PAKioIYqu80BAqZ,SI,RECIBIDA,no,si
1/29/2022 10:17,1/29/2022 10:59,0,190.66.66.129,100,2530,1,1/29/2022 10:59,R_2v0yKa6efl2OZH4,SI,RECIBIDA,no,si
1/29/2022 13:22,1/29/2022 14:05,0,181.237.138.206,100,2536,1,1/29/2022 14:05,R_24sO4yTFAIoT2DL,SI,RECIBIDA,no,si
2/4/2022 17:38,2/4/2022 18:21,0,186.82.117.84,100,2543,1,2/4/2022 18:21,R_1dmiWD6Tg2MAdtz,SI,RECIBIDA,no,si
2/5/2022 7:09,2/5/2022 7:51,0,181.140.169.22,100,2546,1,2/5/2022 7:51,R_8Aee8b4t9VkqKYx,SI,RECIBIDA,no,si
2/4/2022 18:10,2/4/2022 18:53,0,181.225.107.122,100,2562,1,2/4/2022 18:53,R_1pm5WJHKtR8ssJO,SI,RECIBIDA,no,si
2/4/2022 17:10,2/4/2022 17:52,0,179.19.136.222,100,2563,1,2/4/2022 17:52,R_1jJlu9PxK7x8rOm,SI,RECIBIDA,no,si
2/6/2022 12:16,2/6/2022 12:59,0,191.95.166.85,100,2577,1,2/6/2022 12:59,R_3LbEa8xmPrcueXT,SI,RECIBIDA,no,si
2/4/2022 17:41,2/4/2022 18:25,0,179.13.166.70,100,2582,1,2/4/2022 18:25,R_ezCPI6h4FASdSAF,SI,RECIBIDA,no,si
2/4/2022 18:35,2/4/2022 19:18,0,179.12.39.59,100,2582,1,2/4/2022 19:18,R_1OSPDKyNOudU7Yd,SI,RECIBIDA,no,si
1/28/2022 16:00,1/28/2022 16:43,0,177.255.163.50,100,2591,1,1/28/2022 16:43,R_1QoUjM4ydCNbjLA,SI,RECIBIDA,no,si
2/6/2022 7:34,2/6/2022 8:17,0,179.12.44.164,100,2609,1,2/6/2022 8:18,R_3oAVCGqa7FlBsT4,SI,RECIBIDA,no,si
2/4/2022 14:22,2/4/2022 15:05,0,186.84.22.116,100,2613,1,2/4/2022 15:05,R_1jJTL3XYZUekYMH,SI,RECIBIDA,no,si
2/4/2022 17:11,2/4/2022 17:55,0,191.95.35.179,100,2627,1,2/4/2022 17:55,R_1E3PzHkjPA2dUrf,SI,RECIBIDA,no,si
2/6/2022 7:13,2/6/2022 7:57,0,186.155.105.87,100,2637,1,2/6/2022 7:57,R_2SCbTAwAMIy14CS,SI,RECIBIDA,no,si
2/5/2022 15:00,2/5/2022 15:44,0,138.117.86.5,100,2646,1,2/5/2022 15:44,R_XXifu6SlXPpeNvH,SI,RECIBIDA,no,si
