ResponseId,ticket,Durationinseconds,Progress
R_qBYEl3NhxyQt5v3,32q7l17pnrosop8v_861b49d1857524a8_cc430c747a15dd31_ff530ebc9c24918abe0fe8412d685624,3524,100
R_1r0OYzbCploPARI,0d3c897bffb4c713_861b49d1857524a8_cc430c747a15dd31_7ea4cb0cdde80fde5b9c92a0c3cc212d,2371,100
R_O44PjntCE1bUQjT,dd3cc22454d8a898_861b49d1857524a8_cc430c747a15dd31_c1faddf11c6f9edb4c11e7fcd36a0ca8,2845,100
R_1QoUjM4ydCNbjLA,7a16d5ab754cf25a_861b49d1857524a8_cc430c747a15dd31_a74db0691946cbff2234fd60e3e19ea3,2591,100
R_1o1kjIVO1BDdK0l,2126250b67520ad5_861b49d1857524a8_cc430c747a15dd31_95f7d9e1791ec9715228ad1a997c0fba,3268,100
R_3kuZIHGTNwBe6uL,39a91d09719f1424_861b49d1857524a8_cc430c747a15dd31_307ad6be2d841add59944987224f3cbb,3553,100
R_8vxO3DuravRBtzX,205d33d29d9019b0_861b49d1857524a8_cc430c747a15dd31_eda0177e5e1572de38c14e8cb492aaad,3237,100
R_1q7B4SBvIHWV1Fn,3a66314224d89d39_861b49d1857524a8_cc430c747a15dd31_0a34a97d0251264a456c4787ab7fc118,3581,100
R_6JTLmUcvpkfzSal,d9fb625cdd2a5b3b_861b49d1857524a8_cc430c747a15dd31_9e0df21961d03b189f29d2d137016567,3807,100
R_yKkzA3uDRi6AAtr,22c56237b82d7b34_861b49d1857524a8_cc430c747a15dd31_9886867ad5694587b16a102f34235798,4041,100
R_2SxJ5RQVa0ZJGzk,79c5bba9a821c984_861b49d1857524a8_cc430c747a15dd31_cc4e6213059caacd5d6c0f278ab9ffdd,4159,100
R_3KvTsuqcAufpY0c,b2a7fd3a6903a769_861b49d1857524a8_cc430c747a15dd31_ab8bba7a177275fd23ec931878e93750,4390,100
R_0ihGKSU6fgKVTnH,32f19828cf59bd6a_861b49d1857524a8_cc430c747a15dd31_3ceff89f3a7bafa0853ccda5dbecba48,3018,100
R_2VL3GcVCVxM4geb,811d777f23145b06_861b49d1857524a8_cc430c747a15dd31_b4d99c27ddefd97ebee0676cf2eb195c,4290,100
R_2YazDd2xC50jbIz,823d733af8ac2660_861b49d1857524a8_cc430c747a15dd31_e5a8135f56361990b026355588f99b7d,4790,100
R_3erI0etdcMdfCGI,d3f7f88d7f16a94c_861b49d1857524a8_cc430c747a15dd31_75a0a3e89c72756aace215b9e78ba1bc,4980,100
R_2fkwIBpDWxLj9rI,fb02d29b2cd366ff_861b49d1857524a8_cc430c747a15dd31_6d1591bb44f0d1d4a7123fc60dc3df6b,3882,100
R_2R87o0oRiH5Jl0K,36ac22b8a5146aff_861b49d1857524a8_cc430c747a15dd31_fe87e8c5886c3a0975d500b283889ba0,4244,100
R_Dvj5izuFAgQhmg1,b524dd2ff30b8c94_861b49d1857524a8_cc430c747a15dd31_c1564b8fb6e1de34b57c10b14765e3ed,4087,100
R_1GwqYVJa0GlKmcp,496df1219d857455_861b49d1857524a8_cc430c747a15dd31_d121b6fb7e347afc225ff4112b9a1a99,3211,100
R_3EgKegGibXSzOPD,672b2c659258b9b4_861b49d1857524a8_cc430c747a15dd31_a5c5a578a0c4278547566907505c2b26,5272,100
R_UftxQL1jyjvZuCt,8326841cdbf16498_861b49d1857524a8_cc430c747a15dd31_7b40b89417675d9ac40ea6dcc53a9511,3699,100
R_2CIKLGjPd0SpELj,c505557337fb257a_861b49d1857524a8_cc430c747a15dd31_0193f5c29a83613f930bbd7c5c7cc7c2,4876,100
R_DIUloeVd7XhAud3,8183df4f240c5fdb_861b49d1857524a8_cc430c747a15dd31_af80a034124126a36a62fa6db52e31ae,2658,100
R_1eK4DNzqkgJNBUh,07fa8d254f02520c_861b49d1857524a8_cc430c747a15dd31_51ef76b11a1b15c83b326f9f6b7d0549,3474,100
R_yZKdANKDe7TjwJj,079dc00c9bcacaf6_861b49d1857524a8_cc430c747a15dd31_31cb1a5ffb8301822df539dafa79da56,5228,100
R_zcLNUCKmd8pGY8h,1cb8adbf602b9d10_861b49d1857524a8_cc430c747a15dd31_f0cd63c6dbcea6cc5ede3b7b26e310e6,3198,100
R_qL2VDAvmCbm7Avn,109758635a07a43c_861b49d1857524a8_cc430c747a15dd31_9c9ba00919ab1108e2e5450560155679,4067,100
R_3safOCr1ie2jjq4,f14abccc1aafbad7_861b49d1857524a8_cc430c747a15dd31_07caac49777c0e8f28e07b2fdfaf44ff,2378,100
R_1F98I3ujFmzJcUL,c2dc77a4b85a17c4_861b49d1857524a8_cc430c747a15dd31_4c5426d252bbcbdc83b18fc49c7308e4,4370,100
R_27C2iBqyhTjPzm0,b6dc849d7c135b69_861b49d1857524a8_cc430c747a15dd31_3da7e8c68736d09106b90339317f39d2,4011,100
R_1mk2bCYMBn09yVU,518b8902b2411ca2_861b49d1857524a8_cc430c747a15dd31_00e383517556086eb8a6dc49be5582a7,4794,100
R_3sh1REEXrrDYzkc,47704a5b022f6b15_861b49d1857524a8_cc430c747a15dd31_961aebad4030fbfe712f2d63bd403409,7806,100
R_1K3eHlMRZuYevWx,bfffddcd5c6443c1_861b49d1857524a8_cc430c747a15dd31_6d7d46a0031380c991d5936010401fe6,3881,100
R_2cvF59PJzMbtzWU,ba2d76f596aadcab_861b49d1857524a8_cc430c747a15dd31_4a02e307c8b8c19908a5d750a41ceb82,3613,100
R_26euWoOsF2LjFRn,aa51dd4f1f306107_861b49d1857524a8_cc430c747a15dd31_2050f28ef24a2e13ff835025011c4053,2227,100
R_3n6qFBUlJJ4tzBN,2b8661c0d7d9dbcb_861b49d1857524a8_cc430c747a15dd31_320451f526c67496ab648efa4cb842d5,6518,100
R_2R33efO2QmvNVXr,b149b54449181968_861b49d1857524a8_cc430c747a15dd31_d252bf252b21871ae95616e168ed639e,5259,100
R_eWnnqZi06SV9fOh,80496c8482687044_861b49d1857524a8_cc430c747a15dd31_18b4671c881d5dafa840e8d80f68b01d,5067,100
R_2SrduqiZiiOMiDW,5f7796036f31df0f_861b49d1857524a8_cc430c747a15dd31_7d6f1a43b31fd81a249d947d72f40dc3,6576,100
R_3rYgumY8IveaGze,d0346a37bf9ca391_861b49d1857524a8_cc430c747a15dd31_f52b182f49d376c2c43d5c3ec6cede1e,5092,100
R_2bTvLSKYer7Iorh,b64bda60349f4536_861b49d1857524a8_cc430c747a15dd31_7c3bed402fde8b381faf834ac0972558,4207,100
R_3Ez1lC5jcscJfbC,5b00d87f2d01aba1_861b49d1857524a8_cc430c747a15dd31_4acf36f7718dc41e6ecb1d18e2bffd69,4369,100
R_30nIjIgACSLJeyZ,a4776760dab0f3a6_861b49d1857524a8_cc430c747a15dd31_acecf16b7de3542fc9f356e2a79fa32f,3736,100
R_3M9fGN2HPnb4Dup,411a805f4aa99137_861b49d1857524a8_cc430c747a15dd31_7061cc1525c61e1ba633ad639cedcb92,2747,100
R_pxFl2jdy64ojIAx,22d2170c6c4d92c3_861b49d1857524a8_cc430c747a15dd31_633bd8de6f3266e87548a4490b01a6d0,3623,100
R_rfDYIwjy0qWq2Ax,f040c3a55dd711d0_861b49d1857524a8_cc430c747a15dd31_1f27298aea02b7da022382dc4afe0ed3,4013,100
R_sNoJBoPCxldh321,bc57587d0aa8061d_861b49d1857524a8_cc430c747a15dd31_00d02c15e94b78e74ae0229a63ac4c3e,3592,100
